,Site Number,State,Latitude,Longitude
142,98,Florida,30.135797,-81.633981
143,99,Florida,30.354722,-81.547778
144,100,Florida,30.260278,-81.453611
145,106,Florida,30.378217,-81.8409
146,108,Florida,30.262778,-81.606833
147,3012,Florida,29.566112,-82.26608
148,4012,Florida,27.480873,-82.618709
149,4013,Florida,27.449763,-82.522041
150,35,Florida,26.132677,-80.169817
151,6005,Florida,27.939746,-82.000084
152,6006,Florida,28.028889,-81.972222
153,109,Florida,27.854176,-82.383728
154,1035,Florida,27.928356,-82.454539
155,1065,Florida,27.892523,-82.538429
156,39,Georgia,33.802241,-84.435618
157,55,Georgia,33.720742,-84.357316
158,56,Georgia,33.7784,-84.3914
159,91,Georgia,33.610845,-84.390717
160,25,Hawaii,20.869627,-156.493626
161,4100,Hawaii,21.390861,-157.96525
162,2020,Hawaii,19.117561,-155.778136
163,3032,Hawaii,19.442777,-155.88575
164,2023,Hawaii,19.555444,-155.102028
165,3028,Hawaii,19.063186,-155.58676
166,31,Idaho,42.695198,-111.594669
167,24,Illinois,38.700632,-90.144763
168,1601,Illinois,41.66812,-87.99057
169,1009,Illinois,38.726573,-89.959963
170,4201,Illinois,42.139996,-87.799227
171,118,Illinois,42.267,-89.08917
172,3103,Illinois,41.965193,-87.876265
173,3301,Illinois,41.782766,-87.805377
174,120,Illinois,38.901362,-90.146308
175,52,Illinois,41.965485,-87.749928
176,57,Illinois,41.912739,-87.722673
177,76,Illinois,41.7514,-87.713488
178,219,Illinois,41.920009,-87.672995
179,7002,Illinois,42.062053,-87.675254
180,117,Illinois,39.880404,-88.894488
181,217,Illinois,39.850712,-88.933635
182,317,Illinois,39.846856,-88.923323
183,4007,Illinois,42.060285,-87.863225
184,37,Illinois,40.697007,-89.584737
185,2008,Indiana,41.639306,-87.493609
186,36,Indiana,41.594427,-87.495044
187,78,Indiana,39.810833,-86.114444
188,84,Indiana,39.758855,-86.115415
189,87,Indiana,39.787933,-86.13088
190,1579,Iowa,41.849433,-93.697617
191,40,Iowa,41.97677,-91.68766
192,30,Iowa,41.603159,-93.643118
193,80,Kentucky,38.182435,-85.574361
194,1024,Kentucky,37.05822,-88.57251
195,1041,Kentucky,38.23158,-85.82678
196,67,Kentucky,38.22876,-85.65452
197,75,Kentucky,38.1936,-85.7119
198,501,Kentucky,37.13179,-86.142953
199,1100,Maine,46.696431,-68.033006
200,103,Maine,44.37705,-68.2609
201,102,Maine,44.351697,-68.22698
202,38,Maine,43.656764,-70.629138
203,8003,Maryland,38.81194,-76.74417
204,8881,Maryland,39.4864,-79.0638
205,8882,Maryland,39.483617,-79.026383
206,54,Maryland,39.328807,-76.553075
207,42,Massachusetts,42.3295,-71.0826
208,44,Massachusetts,42.325186,-71.056061
209,93,Michigan,42.385998,-83.266189
210,97,Michigan,42.261669,-83.157893
211,922,Michigan,44.307,-86.242649
212,913,Michigan,42.786109,-82.527801
213,914,Michigan,42.773556,-82.47583
214,3410,Minnesota,47.38443,-94.60166
215,3051,Minnesota,46.2053,-93.75945
216,2304,Minnesota,47.878159,-95.029172
217,3201,Minnesota,45.20916,-93.66921
218,470,Minnesota,44.73846,-93.23725
219,3204,Minnesota,46.39674,-94.1303
220,2013,Minnesota,46.851811,-95.846272
221,7550,Minnesota,46.81826,-92.08936
222,7554,Minnesota,46.743657,-92.165998
223,423,Minnesota,44.77553,-93.06299
224,480,Minnesota,44.706123,-93.285803
225,954,Minnesota,44.980995,-93.273719
226,963,Minnesota,44.95366,-93.25821
227,962,Minnesota,44.965242,-93.254759
228,5008,Minnesota,43.996908,-92.450366
229,443,Minnesota,44.745662,-93.05541
230,3052,Minnesota,45.549839,-94.13345
231,436,Minnesota,44.84737,-92.9954
232,505,Minnesota,44.791437,-93.512534
233,7417,Minnesota,46.713694,-92.511722
234,4210,Minnesota,44.4438,-95.81789
235,868,Minnesota,44.95072,-93.09827
236,871,Minnesota,44.95939,-93.03587
237,7810,Minnesota,47.972085,-89.69098
238,6016,Minnesota,45.168004,-92.765136
